0,1,2
484530011001065,48453,48
060375551042009,06037,06
484530018213012,48453,48
401091071042004,40109,40
330099603004146,33009,33
060371061112030,06037,06
060470008022010,06047,06
481576706012006,48157,48
040134219024004,04013,04
481130042013004,48113,48
060290031221000,06029,06
482150238012036,48215,48
340010015001001,34001,34
290950151001129,29095,29
210930009014027,21093,21
410670305011002,41067,41
490211101002066,49021,49
040131039002002,04013,04
170316909002006,17031,17
060871205004024,06087,06
290950087002019,29095,29
060372162001001,06037,06
320030029381001,32003,32
132171009021000,13217,13
170314909021000,17031,17
061150406001000,06115,06
080310045033009,08031,08
484530017692024,48453,48
170318120005006,17031,17
560250008003066,56025,56
120110429004014,12011,12
130890219103006,13089,13
060930011001280,06093,06
060372733001010,06037,06
120690312031153,12069,12
261339701002046,26133,26
550790913003013,55079,55
120860113005006,12086,12
202090433011012,20209,20
470650114111020,47065,47
560210002003031,56021,56
010399623003005,01039,01
060650425191003,06065,06
530330025002013,53033,53
060710251001101,06071,06
471570217311002,47157,47
480610139023021,48061,48
120950137023011,12095,12
080690011102000,08069,08
040130924021001,04013,04
201939531001109,20193,20
390610023001008,39061,39
482450116002028,48245,48
130159601023035,13015,13
120110506012006,12011,12
133059702002001,13305,13
550459605004002,55045,55
421010361001010,42101,42
401091004002016,40109,40
391130804002010,39113,39
450510602042020,45051,45
560099566003217,56009,56
060610219023052,06061,06
270530265071024,27053,27
060371439012013,06037,06
371690704003008,37169,37
220710007024014,22071,22
130879702002136,13087,13
320030005231018,32003,32
120010021021047,12001,12
220170223002015,22017,22
450630211151000,45063,45
221090012011006,22109,22
080130122022009,08013,08
350130002012001,35013,35
490050008003007,49005,49
320050010002006,32005,32
060930011002029,06093,06
484391233002100,48439,48
060375021002042,06037,06
350010015002028,35001,35
350050002012050,35005,35
040190026041004,04019,04
060014010005000,06001,06
420750040001028,42075,42
511455001022010,51145,51
180350015002002,18035,18
060730187001258,06073,06
170190102045024,17019,17
211110049001092,21111,21
550791202011000,55079,55
150090311011001,15009,15
517600411002017,51760,51
470370156281006,47037,47
530530626001090,53053,53
211170636032001,21117,21
481410008001031,48141,48
484391115231012,48439,48
320030029411003,32003,32
060190042072014,06019,06
371470005022000,37147,37
060375702032012,06037,06
450350105031004,45035,45
370710317042017,37071,37
530630004002013,53063,53
400198928001022,40019,40
060855037102001,06085,06
160179503001013,16017,16
483090011001000,48309,48
481350006006004,48135,48
060014030001003,06001,06
060650435042040,06065,06
390950053001002,39095,39
350250007041004,35025,35
060372361003005,06037,06
360850319012000,36085,36
482599705002022,48259,48
240338024082000,24033,24
090135291003030,09013,09
060855090001002,06085,06
325100009002009,32510,32
250235221023014,25023,25
060855032132000,06085,06
482659606001003,48265,48
482012117003002,48201,48
060855120171008,06085,06
295101123001000,29510,29
261251501001012,26125,26
530659509001209,53065,53
370879205001036,37087,37
060710019062005,06071,06
391670213002051,39167,39
011250127001035,01125,01
530459612002037,53045,53
371830542041015,37183,37
270614807004127,27061,27
060290003004008,06029,06
510990404002010,51099,51
360010132004010,36001,36
320030030052002,32003,32
120310106001016,12031,12
010439641004030,01043,01
340297132021020,34029,34
371510315042032,37151,37
350490103141047,35049,35
420293025001018,42029,42
120570103031004,12057,12
040131121002021,04013,04
120860002201003,12086,12
471650212012007,47165,47
470039503001013,47003,47
490351131012000,49035,49
060014036001005,06001,06
060730095091011,06073,06
060371272202000,06037,06
481130027021014,48113,48
480291819022019,48029,48
490490032041026,49049,49
361190033004000,36119,36
481830006004021,48183,48
320030036261038,32003,32
170318432002053,17031,17
401190114004037,40119,40
040190037022006,04019,04
080690017041001,08069,08
540550019002026,54055,54
391535301043007,39153,39
350150011005042,35015,35
040250012002278,04025,04
060190004001000,06019,06
460359628005027,46035,46
060230101022150,06023,06
483671404091002,48367,48
330110142013024,33011,33
181179515003047,18117,18
370630010013009,37063,37
060710018103002,06071,06
518100460141005,51810,51
518100460141005,51810,51
120860054071021,12086,12
220170213002014,22017,22
350250004002025,35025,35
060190031043021,06019,06
020900007003018,02090,02
550090213032005,55009,55
290950060002016,29095,29
020900014003017,02090,02
060374327003001,06037,06
360894910004023,36089,36
180973101112007,18097,18
060770042041091,06077,06
060375506014011,06037,06
420454054002024,42045,42
080130608001000,08013,08
011210117002118,01121,01
470930046061000,47093,47
191839602001027,19183,19
401214864002001,40121,40
480396642002040,48039,48
210339203004104,21033,21
060710120013001,06071,06
220870302033047,22087,22
060371199001001,06037,06
120860164002022,12086,12
060371881003005,06037,06
220790128001042,22079,22
460819666001040,46081,46
260510005003004,26051,26
470430605023058,47043,47
221030407101044,22103,22
011290440004010,01129,01
516600004011006,51660,51
181457106013031,18145,18
481130131053002,48113,48
060530140001023,06053,06
060530140001023,06053,06
121270901021148,12127,12
121050116062000,12105,12
482770002001000,48277,48
061070016012026,06107,06
120910212001026,12091,12
060890123021004,06089,06
490351030002017,49035,49
480850308011011,48085,48
240054044041003,24005,24
510770602021048,51077,51
100030025003004,10003,10
120860102072013,12086,12
080410045102034,08041,08
271230368002009,27123,27
391535022001005,39153,39
040250014022031,04025,04
170312312002010,17031,17
220330035041013,22033,22
350250010052014,35025,35
060372264201001,06037,06
132950201004018,13295,13
481210203091010,48121,48
060730101112000,06073,06
550959609004045,55095,55
461030107001008,46103,46
270654803002028,27065,27
540810013003003,54081,54
040030020013004,04003,04
410670317052000,41067,41
483810217033006,48381,48
060710034053002,06071,06
010330207011039,01033,01
170318430001026,17031,17
484391134054002,48439,48
340230090002028,34023,34
391535310025000,39153,39
401091077043005,40109,40
120990038005002,12099,12
240276056023013,24027,24
060650444031029,06065,06
090076701001015,09007,09
261179704003036,26117,26
170438460043043,17043,17
060710058002002,06071,06
220190013002005,22019,22
450450026112010,45045,45
481350027001032,48135,48
280859505005030,28085,28
130159607002000,13015,13
181670112004090,18167,18
010359605002028,01035,01
120860108011023,12086,12
390490093722034,39049,39
320030029191003,32003,32
390351066004007,39035,39
530330220052002,53033,53
060750124021005,06075,06
482015320012021,48201,48
060374078013007,06037,06
280870008001046,28087,28
482012104003019,48201,48
060990028032000,06099,06
421330014003010,42133,42
120990014021042,12099,12
060190053022017,06019,06
211110107013016,21111,21
060730053002007,06073,06
350519624011173,35051,35
221030407011133,22103,22
191130023004006,19113,19
060250121003037,06025,06
061070009003027,06107,06
260810127034000,26081,26
220170253001015,22017,22
060670076014005,06067,06
211199605003006,21119,21
060650423004006,06065,06
120710101021014,12071,12
060650449151013,06065,06
391199123003038,39119,39
550590028002029,55059,55
021220007006080,02122,02
132270504001015,13227,13
110010016002001,11001,11
120570118033000,12057,12
130510012001050,13051,13
060730214002030,06073,06
280959502001122,28095,28
120310155021005,12031,12
410470018032065,41047,41
471019702002031,47101,47
210579502002085,21057,21
481130178041013,48113,48
482015511004008,48201,48
401010014002065,40101,40
482015511003036,48201,48
120299701024052,12029,12
080410023001000,08041,08
010810417004000,01081,01
270859504001027,27085,27
060230005001017,06023,06
160039502001523,16003,16
110010075022002,11001,11
220090304001002,22009,22
290770022001024,29077,29
482013122003037,48201,48
060470018011000,06047,06
060730079072013,06073,06
540610107002008,54061,54
401139400013017,40113,40
291892207011016,29189,29
450150208101037,45015,45
410510048001003,41051,41
370079204001041,37007,37
484790017131006,48479,48
540079681004101,54007,54
060855029082017,06085,06
060371312002011,06037,06
060070011003004,06007,06
300010001002169,30001,30
080410037072010,08041,08
060750253004006,06075,06
450030214003030,45003,45
245102718023001,24510,24
060855091071002,06085,06
470539663001081,47053,47
131030304012052,13103,13
060650401012030,06065,06
060014097003012,06001,06
421010240002012,42101,42
270531028001008,27053,27
370850712042041,37085,37
120860102092010,12086,12
450630202011029,45063,45
130990901002009,13099,13
340297361024003,34029,34
483671406022053,48367,48
120860005032049,12086,12
260210021003001,26021,26
121113804005007,12111,12
110010078081002,11001,11
060710094001006,06071,06
132231202021020,13223,13
400137966002146,40013,40
060710026012063,06071,06
320310009001012,32031,32
080310013015001,08031,08
390490047005001,39049,39
483550023013012,48355,48
270030514001019,27003,27
340076020002006,34007,34
320030025011018,32003,32
290770033003013,29077,29
040019705011044,04001,04
290430202031087,29043,29
060070022001017,06007,06
292090904002041,29209,29
481130170011016,48113,48
391079676002039,39107,39
290630802003210,29063,29
040130717023004,04013,04
060290016002072,06029,06
131210012021013,13121,13
484959504001633,48495,48
230190007002062,23019,23
060375520021001,06037,06
080310005024004,08031,08
060710057011022,06071,06
060710072003009,06071,06
060750233001020,06075,06
480291521003068,48029,48
350290001001056,35029,35
310499554002231,31049,31
420031914001013,42003,42
040134201091006,04013,04
481130151002000,48113,48
551390033002016,55139,55
291892108042005,29189,29
060650452242004,06065,06
120860042041011,12086,12
530330081002024,53033,53
390351801022010,39035,39
560019639001844,56001,56
361190014014007,36119,36
390351012001007,39035,39
210859503003000,21085,21
180973426004026,18097,18
450450026042005,45045,45
060530142011003,06053,06
040190047191002,04019,04
180973308053015,18097,18
470650019003036,47065,47
060375417005007,06037,06
400198923003058,40019,40
420893007002021,42089,42
484391223003037,48439,48
481210211001009,48121,48
530670116242010,53067,53
080310001023009,08031,08
220710017511070,22071,22
470539670005053,47053,47
320030060014000,32003,32
060375732012002,06037,06
320030047142000,32003,32
540190205002002,54019,54
240054518022022,24005,24
391336012002001,39133,39
060990018002057,06099,06
391730201002012,39173,39
350559401006019,35055,35
060372920003002,06037,06
060379107111018,06037,06
483750115001029,48375,48
060650433072022,06065,06
130970803031032,13097,13
421279609002040,42127,42
121270910261013,12127,12
080310044042025,08031,08
061150409011120,06115,06
500070004002002,50007,50
120530403021033,12053,12
350010006042005,35001,35
261635355001007,26163,26
260650052015002,26065,26
061070039013002,06107,06
060855113022004,06085,06
040136149001000,04013,04
170312517001025,17031,17
160739501013097,16073,16
280399503021033,28039,28
040133194015003,04013,04
221010411001064,22101,22
518000653003014,51800,51
060190007002005,06019,06
320030029511005,32003,32
060730004001000,06073,06
483539505003625,48353,48
460990005002001,46099,46
300670004003002,30067,30
371190039023003,37119,37
220119607002184,22011,22
401091003003028,40109,40
471790609002020,47179,47
371190043052002,37119,37
060890108062022,06089,06
060990026023007,06099,06
420454015012008,42045,42
170978602002009,17097,17
350279602001762,35027,35
210590013003090,21059,21
551270015012080,55127,55
130159608011003,13015,13
530150017003021,53015,53
240150307002002,24015,24
390610098001006,39061,39
080310006001004,08031,08
420990303011036,42099,42
020200020001010,02020,02
517100068002026,51710,51
471550808011070,47155,47
530379751002033,53037,53
171990201001055,17199,17
060379200355009,06037,06
540839660003002,54083,54
261251611001013,26125,26
060371941011012,06037,06
480291716022014,48029,48
410670318132000,41067,41
060730158012002,06073,06
120990082013010,12099,12
295101163022000,29510,29
490351109001000,49035,49
040134226253000,04013,04
060371175201002,06037,06
010550104022003,01055,01
040190019003013,04019,04
120950135071024,12095,12
410290012002026,41029,41
040131045023001,04013,04
060014403311020,06001,06
481130116012010,48113,48
450630209051047,45063,45
131850101024000,13185,13
220979605001013,22097,22
010890107014071,01089,01
482659606003011,48265,48
400917802003027,40091,40
010210601025065,01021,01
320310010052017,32031,32
410259601002017,41025,41
050510120011334,05051,05
471570059001017,47157,47
350490011061000,35049,35
450339706002017,45033,45
471050603022026,47105,47
261635743001025,26163,26
484391113131011,48439,48
130670304051036,13067,13
530530617004008,53053,53
310550070013004,31055,31
410050218021001,41005,41
250092061001006,25009,25
481130144072000,48113,48
010810420042035,01081,01
170316720001020,17031,17
080690013061110,08069,08
132950201006000,13295,13
290950111001006,29095,29
120210112042001,12021,12
060290062011015,06029,06
420035606001015,42003,42
484391140086001,48439,48
110010078081006,11001,11
350010004021004,35001,35
060670089052008,06067,06
401110008003046,40111,40
120830012081046,12083,12
461219402001099,46121,46
040134201051024,04013,04
480291913042018,48029,48
290950131001010,29095,29
390852053002016,39085,39
481410017002052,48141,48
121130107024011,12113,12
370970609012036,37097,37
410079509006026,41007,41
060372121012002,06037,06
390490049003017,39049,39
050850201032034,05085,05
420454054001014,42045,42
484530018353005,48453,48
060590866023014,06059,06
150010206004007,15001,15
211110127021012,21111,21
240253011072006,24025,24
021850001001116,02185,02
271230418004012,27123,27
482139508003033,48213,48
370350116022033,37035,37
060379005071002,06037,06
390490071324009,39049,39
250250902003001,25025,25
484391023012054,48439,48
360670007001007,36067,36
220330011031005,22033,22
483659502002037,48365,48
510299301022076,51029,51
191530104091009,19153,19
120810008042012,12081,12
060375316042010,06037,06
060371278032003,06037,06
060590219243015,06059,06
350250009001477,35025,35
090010603001017,09001,09
051139502005057,05113,05
390610209022010,39061,39
060590744063026,06059,06
060590744063004,06059,06
483671404052004,48367,48
131570104004030,13157,13
490490101033081,49049,49
470190701002040,47019,47
060590877042008,06059,06
350010047411007,35001,35
530530720004016,53053,53
281419502002020,28141,28
530330021003008,53033,53
040131170002005,04013,04
060376014011011,06037,06
060376014011011,06037,06
021700004011091,02170,02
080310003035009,08031,08
060290016001119,06029,06
390572003001003,39057,39
060770050032009,06077,06
040131042212001,04013,04
482013119001026,48201,48
