FIPS:Block,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,FIPS:County,FIPS:State,Cantidad de Casos
021850001001116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040019441005040,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040019705011044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040019705022073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040030009022006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040030012003004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040030020013004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050002002049,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050008003026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050008003042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050011021051,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050011021071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050011023000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050012001053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050016002059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040050016003012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040119602003019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040120205021117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040120206022015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040120206022033,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130405064000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130506081000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130506083048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130609033012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130715062012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130715111000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130716001002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130717023004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130719037001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130719111003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130719151003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130820192000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130820201011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130822042031,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130923084005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130923091001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130924021001,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040130925001000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130927111039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130927132002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130927202003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040130928022005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131039002002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131042023021,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131042054006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131042054017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131042183005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131042212001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131045023001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131063004014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131071022005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131090022001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131093001016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131096022017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131096034008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131099003023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131100011002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131100011005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131105011007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131113002002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131116021000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
040131116022011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131119001020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
040131121001006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
