State;Violent Crime Rate;Date
AK;635.8;2014-03
AZ;399.9;2014-03
AR;480.1;2014-03
CA;396.1;2014-03
CO;309.1;2014-03
CT;236.9;2014-03
DE;489.1;2014-03
FL;540.5;2014-03
GA;377.3;2014-03
HI;259.2;2014-03
ID;212.2;2014-03
IL;370;2014-03
IN;365.3;2014-03
IA;273.5;2014-03
KS;348.6;2014-03
KY;211.6;2014-03
LA;514.7;2014-03
ME;127.8;2014-03
MD;446.1;2014-03
MA;391.4;2014-03
MI;427.3;2014-03
MN;229.1;2014-03
MS;278.5;2014-03
MO;442.9;2014-03
MT;323.7;2014-03
NE;280.4;2014-03
NV;635.6;2014-03
NH;196.1;2014-03
NJ;261.2;2014-03
NM;597.4;2014-03
NY;381.8;2014-03
NC;329.5;2014-03
ND;265.1;2014-03
OH;284.9;2014-03
OK;406;2014-03
OR;232.3;2014-03
PA;314.1;2014-03
RI;219.2;2014-03
SC;497.7;2014-03
SD;326.5;2014-03
TN;608.4;2014-03
TX;405.9;2014-03
UT;215.6;2014-03
VT;99.3;2014-03
VA;196.2;2014-03
WA;285.2;2014-03
WV;302;2014-03
WI;290.3;2014-03
WY;195.5;2014-03
AL;427.4;2014-04
AK;635.8;2014-04
AZ;399.9;2014-04
AR;480.1;2014-04
CA;396.1;2014-04
CO;309.1;2014-04
CT;236.9;2014-04
DE;489.1;2014-04
FL;540.5;2014-04
GA;377.3;2014-04
HI;259.2;2014-04
ID;212.2;2014-04
IL;370;2014-04
IN;365.3;2014-04
IA;273.5;2014-04
KS;348.6;2014-04
KY;211.6;2014-04
LA;514.7;2014-04
ME;127.8;2014-04
MD;446.1;2014-04
MA;391.4;2014-04
MI;427.3;2014-04
MN;229.1;2014-04
MS;278.5;2014-04
MO;442.9;2014-04
MT;323.7;2014-04
NE;280.4;2014-04
NV;635.6;2014-04
NH;196.1;2014-04
NJ;261.2;2014-04
NM;597.4;2014-04
NY;381.8;2014-04
NC;329.5;2014-04
ND;265.1;2014-04
OH;284.9;2014-04
OK;406;2014-04
OR;232.3;2014-04
PA;314.1;2014-04
RI;219.2;2014-04
SC;497.7;2014-04
SD;326.5;2014-04
TN;608.4;2014-04
TX;405.9;2014-04
UT;215.6;2014-04
VT;99.3;2014-04
VA;196.2;2014-04
WA;285.2;2014-04
WV;302;2014-04
WI;290.3;2014-04
WY;195.5;2014-04
AL;427.4;2014-05
AK;635.8;2014-05
AZ;399.9;2014-05
AR;480.1;2014-05
CA;396.1;2014-05
CO;309.1;2014-05
CT;236.9;2014-05
DE;489.1;2014-05
FL;540.5;2014-05
GA;377.3;2014-05
HI;259.2;2014-05
ID;212.2;2014-05
IL;370;2014-05
IN;365.3;2014-05
IA;273.5;2014-05
KS;348.6;2014-05
KY;211.6;2014-05
LA;514.7;2014-05
ME;127.8;2014-05
MD;446.1;2014-05
MA;391.4;2014-05
MI;427.3;2014-05
MN;229.1;2014-05
MS;278.5;2014-05
MO;442.9;2014-05
MT;323.7;2014-05
NE;280.4;2014-05
NV;635.6;2014-05
NH;196.1;2014-05
NJ;261.2;2014-05
NM;597.4;2014-05
NY;381.8;2014-05
NC;329.5;2014-05
ND;265.1;2014-05
OH;284.9;2014-05
OK;406;2014-05
OR;232.3;2014-05
PA;314.1;2014-05
RI;219.2;2014-05
SC;497.7;2014-05
SD;326.5;2014-05
TN;608.4;2014-05
TX;405.9;2014-05
UT;215.6;2014-05
VT;99.3;2014-05
VA;196.2;2014-05
WA;285.2;2014-05
WV;302;2014-05
WI;290.3;2014-05
WY;195.5;2014-05
AL;427.4;2014-06
AK;635.8;2014-06
AZ;399.9;2014-06
AR;480.1;2014-06
CA;396.1;2014-06
CO;309.1;2014-06
CT;236.9;2014-06
DE;489.1;2014-06
FL;540.5;2014-06
GA;377.3;2014-06
HI;259.2;2014-06
ID;212.2;2014-06
IL;370;2014-06
IN;365.3;2014-06
IA;273.5;2014-06
KS;348.6;2014-06
KY;211.6;2014-06
LA;514.7;2014-06
ME;127.8;2014-06
MD;446.1;2014-06
MA;391.4;2014-06
MI;427.3;2014-06
MN;229.1;2014-06
MS;278.5;2014-06
MO;442.9;2014-06
MT;323.7;2014-06
NE;280.4;2014-06
NV;635.6;2014-06
NH;196.1;2014-06
NJ;261.2;2014-06
NM;597.4;2014-06
NY;381.8;2014-06
NC;329.5;2014-06
ND;265.1;2014-06
OH;284.9;2014-06
OK;406;2014-06
OR;232.3;2014-06
PA;314.1;2014-06
RI;219.2;2014-06
SC;497.7;2014-06
SD;326.5;2014-06
TN;608.4;2014-06
TX;405.9;2014-06
UT;215.6;2014-06
VT;99.3;2014-06
VA;196.2;2014-06
WA;285.2;2014-06
WV;302;2014-06
WI;290.3;2014-06
WY;195.5;2014-06
AL;427.4;2014-07
AK;635.8;2014-07
AZ;399.9;2014-07
AR;480.1;2014-07
CA;396.1;2014-07
CO;309.1;2014-07
CT;236.9;2014-07
DE;489.1;2014-07
FL;540.5;2014-07
GA;377.3;2014-07
HI;259.2;2014-07
ID;212.2;2014-07
IL;370;2014-07
IN;365.3;2014-07
IA;273.5;2014-07
KS;348.6;2014-07
KY;211.6;2014-07
LA;514.7;2014-07
ME;127.8;2014-07
MD;446.1;2014-07
MA;391.4;2014-07
MI;427.3;2014-07
MN;229.1;2014-07
MS;278.5;2014-07
MO;442.9;2014-07
MT;323.7;2014-07
NE;280.4;2014-07
NV;635.6;2014-07
NH;196.1;2014-07
NJ;261.2;2014-07
NM;597.4;2014-07
NY;381.8;2014-07
NC;329.5;2014-07
ND;265.1;2014-07
OH;284.9;2014-07
OK;406;2014-07
OR;232.3;2014-07
PA;314.1;2014-07
RI;219.2;2014-07
SC;497.7;2014-07
SD;326.5;2014-07
TN;608.4;2014-07
TX;405.9;2014-07
UT;215.6;2014-07
VT;99.3;2014-07
VA;196.2;2014-07
WA;285.2;2014-07
WV;302;2014-07
WI;290.3;2014-07
WY;195.5;2014-07
AL;427.4;2014-08
AK;635.8;2014-08
AZ;399.9;2014-08
AR;480.1;2014-08
CA;396.1;2014-08
CO;309.1;2014-08
CT;236.9;2014-08
DE;489.1;2014-08
FL;540.5;2014-08
GA;377.3;2014-08
HI;259.2;2014-08
ID;212.2;2014-08
IL;370;2014-08
IN;365.3;2014-08
IA;273.5;2014-08
KS;348.6;2014-08
KY;211.6;2014-08
LA;514.7;2014-08
ME;127.8;2014-08
MD;446.1;2014-08
MA;391.4;2014-08
MI;427.3;2014-08
MN;229.1;2014-08
MS;278.5;2014-08
MO;442.9;2014-08
MT;323.7;2014-08
