date_my;state;coef
2014-05;TN;0.067
2014-05;TX;0.052
2014-05;UT;0.038
2014-05;VA;0.053
2014-05;VT;0.04
2014-05;WA;0.062
2014-05;WI;0.055
2014-05;WV;0.067
2014-05;WY;0.041
2014-06;AK;0.07
2014-06;AL;0.069
2014-06;AR;0.06
2014-06;AZ;0.068
2014-06;CA;0.075
2014-06;CO;0.05
2014-06;CT;0.066
2014-06;DE;0.058
2014-06;FL;0.063
2014-06;GA;0.073
2014-06;HI;0.044
2014-06;IA;0.043
2014-06;ID;0.048
2014-06;IL;0.071
2014-06;IN;0.06
2014-06;KS;0.046
2014-06;KY;0.065
2014-06;LA;0.063
2014-06;MA;0.058
2014-06;MD;0.059
2014-06;ME;0.057
2014-06;MI;0.074
2014-06;MN;0.041
2014-06;MO;0.062
2014-06;MS;0.076
2014-06;MT;0.047
2014-06;NC;0.064
2014-06;ND;0.026
2014-06;NE;0.033
2014-06;NH;0.043
2014-06;NJ;0.067
2014-06;NM;0.067
2014-06;NV;0.079
2014-06;NY;0.064
2014-06;OH;0.058
2014-06;OK;0.045
2014-06;OR;0.068
2014-06;PA;0.059
2014-06;RI;0.078
2014-06;SC;0.064
2014-06;SD;0.034
2014-06;TN;0.067
2014-06;TX;0.052
2014-06;UT;0.038
2014-06;VA;0.053
2014-06;VT;0.039
2014-06;WA;0.061
2014-06;WI;0.054
2014-06;WV;0.066
2014-06;WY;0.041
2014-07;AK;0.069
2014-07;AL;0.067
2014-07;AR;0.059
2014-07;AZ;0.067
2014-07;CA;0.074
2014-07;CO;0.048
2014-07;CT;0.065
2014-07;DE;0.057
2014-07;FL;0.062
2014-07;GA;0.072
2014-07;HI;0.043
2014-07;IA;0.042
2014-07;ID;0.048
2014-07;IL;0.069
2014-07;IN;0.059
2014-07;KS;0.045
2014-07;KY;0.063
2014-07;LA;0.065
2014-07;MA;0.057
2014-07;MD;0.058
2014-07;ME;0.056
2014-07;MI;0.072
2014-07;MN;0.04
2014-07;MO;0.06
2014-07;MS;0.075
2014-07;MT;0.046
2014-07;NC;0.063
2014-07;ND;0.027
2014-07;NE;0.032
2014-07;NH;0.042
2014-07;NJ;0.066
2014-07;NM;0.067
2014-07;NV;0.078
2014-07;NY;0.062
2014-07;OH;0.057
2014-07;OK;0.044
2014-07;OR;0.067
2014-07;PA;0.058
2014-07;RI;0.075
2014-07;SC;0.065
2014-07;SD;0.034
2014-07;TN;0.067
2014-07;TX;0.051
2014-07;UT;0.038
2014-07;VA;0.052
2014-07;VT;0.039
2014-07;WA;0.061
2014-07;WI;0.053
2014-07;WV;0.066
2014-07;WY;0.041
2014-08;AK;0.069
2014-08;AL;0.066
2014-08;AR;0.058
2014-08;AZ;0.067
2014-08;CA;0.073
2014-08;CO;0.046
2014-08;CT;0.065
2014-08;DE;0.056
2014-08;FL;0.062
2014-08;GA;0.071
2014-08;HI;0.043
2014-08;IA;0.042
2014-08;ID;0.047
2014-08;IL;0.067
2014-08;IN;0.058
2014-08;KS;0.044
2014-08;KY;0.061
2014-08;LA;0.067
2014-08;MA;0.057
2014-08;MD;0.058
2014-08;ME;0.055
2014-08;MI;0.07
2014-08;MN;0.04
2014-08;MO;0.059
2014-08;MS;0.073
2014-08;MT;0.046
2014-08;NC;0.062
2014-08;ND;0.027
2014-08;NE;0.032
2014-08;NH;0.042
2014-08;NJ;0.066
2014-08;NM;0.066
2014-08;NV;0.077
2014-08;NY;0.061
2014-08;OH;0.056
2014-08;OK;0.043
2014-08;OR;0.066
2014-08;PA;0.057
2014-08;RI;0.073
2014-08;SC;0.066
2014-08;SD;0.033
2014-08;TN;0.066
2014-08;TX;0.05
2014-08;UT;0.038
2014-08;VA;0.052
2014-08;VT;0.039
2014-08;WA;0.06
2014-08;WI;0.052
2014-08;WV;0.065
2014-08;WY;0.041
2014-09;AK;0.068
2014-09;AL;0.065
